Perovskite_composition_long_form,Perovskite_band_gap,formula
(1.3-Pr(NH3)2)0.5Pb1.0I3,1.62,
(5-AVA)0.05MA0.95PbI3,1.6,
(6-ACA)0.038MA0.962PbI3,1.59,
(C6H4NH2)CuBr2I,1.63,
(C6H4NH2)CuCl2I,2.01,
(DMA)0.025MA0.975PbI3,1.55,
(DMA)0.05MA0.95PbI3,1.55,
(DMA)0.075MA0.925PbI3,1.55,
(DMA)0.1MA0.9PbI3,1.55,
(PEA)0.03MA0.97PbI3,1.6,
(PEA)0.05MA0.95PbBr1.2I1.8,1.82,
(PEA)0.05MA0.95PbI3,1.6,
(PEA)0.1MA0.9PbI3,1.6,
(PEA)0.4MA0.6PbI3,1.6,
(PEA)0.5MA0.5PbI3,1.6,
(PEA)2PbI4,1.6,
(n-C3H7NH3)PbCl3,1.72,
AN0.015MA0.985PbI3,1.58,
AN0.03MA0.97PbI3,1.58,
AN0.06MA0.94PbI3,1.58,
AN0.09MA0.91PbI3,1.58,
AN0.15Cs0.5MA0.8PbI3,1.58,
AN0.15FA0.5MA0.8PbI3,1.58,
AN0.1MA0.9PbI3,1.58,
AN0.2MA0.8PbI3,1.58,
AN0.3MA0.7PbI3,1.58,
AN0.4MA0.6PbI3,1.58,
AN0.5MA0.5PbI3,1.58,
Ag0.152Bi3I9.5,1.86,
Ag0.153Bi3I10.5,1.86,
Ag0.15Bi4I11.5,1.86,
Ag2BiI5,1.86,
Ag3Bi2I9,1.86,
Ag3BiI6,1.86,
AgBi2I7,1.86,
AgBiI4,1.86,
BDACs2Pb3Br3I7,1.91,
BDACs3Pb4Br3.9I9.1,1.9,
BDACs4Pb5Br4.8I11.2,1.9,
BDACsPb2Br2.1I4.9,2.02,
Ba0.1K0.9Nb0.95Ni0.05O3,1.45,
Cs0.005Pb0.995Br3,2.29,
Cs0.01FA0.39MA0.6PbBr0.025I2.975,1.6,
Cs0.01MA0.99PbBr0.03I2.97,1.6,
Cs0.025FA0.475MA0.5Pb0.5Sn0.5I3,1.27,
Cs0.025FA0.7MA0.25Rb0.025PbI3,1.51,
Cs0.025FA0.825MA0.15PbBr0.45I2.55,1.651,
Cs0.02FA0.38MA0.6PbBr0.025I2.975,1.6,
Cs0.02MA0.98PbBr0.06I2.94,1.6,
Cs0.03FA0.37MA0.6PbBr0.025I2.975,1.6,
Cs0.03FA0.77MA0.2PbBr0.46I2.54,1.5,
Cs0.03FA0.81MA0.16PbBr0.50I2.50,1.63,
Cs0.03FA0.945MA0.025PbBr0.075I2.925,1.56,
Cs0.03FA0.97PbI3,1.553,
Cs0.03MA0.97PbBr0.09I2.91,1.6,
Cs0.04FA0.80MA0.16PbBr0.50I2.50,1.632,
Cs0.04FA0.80MA0.16PbBr0.51I2.49,1.61,
Cs0.04FA0.82MA0.14PbBr0.42I2.58,1.58,
