y_train_real,y_train_pred
19.1,12.752457
14.93,11.82878
14.7,11.80477
1.8,4.0275793
7.22,6.866425
18.13,12.535317
17.3,15.113603
15.2,9.316022
13.85,11.343122
12.27,12.781014
20.77,18.236137
1.32,5.9575424
14.94,14.771775
14.42,12.265332
2.51,2.1099176
16.4,11.124306
10.34,8.091357
12.3,9.579058
6.0,2.5348477
14.5,11.900323
14.06,13.11169
6.5,9.085959
13.08,6.593354
16.17,8.401191
6.48,3.8262763
13.51,10.183945
14.4,7.9317966
11.2,9.937919
13.39,7.1790786
6.1,4.623956
16.83,12.439704
6.79,2.641119
16.13,8.734559
14.02,11.729672
9.62,10.028951
17.9,15.005397
1.7,6.8175592
11.0,7.7852454
8.2,8.909775
4.14,5.9699206
16.0,11.687188
12.7,13.052697
14.38,13.031338
11.8,9.365454
17.21,14.026892
2.71,1.7358764
15.59,12.835575
18.5,14.27509
11.72,10.319432
15.8,14.128993
18.9,10.772918
9.04,6.4475164
12.13,9.617958
19.27,11.505908
0.484,1.0498966
11.7,8.966372
1.0,6.245316
10.88,11.564392
11.74,10.777653
10.89,10.254093
12.61,10.638518
19.67,16.166946
14.0,9.356708
13.7,11.9784155
14.16,11.298814
6.64,7.4567437
14.38,10.297593
15.15,12.37394
16.92,15.22425
20.15,14.323391
16.38,13.580991
15.04,13.613224
21.48,17.187672
5.58,6.5579877
11.9,10.312755
17.38,14.958767
16.18,12.749985
10.82,7.0318456
8.11,7.424668
17.16,10.201949
12.3,10.501793
17.1,13.262252
7.54,7.7195926
14.69,12.317497
14.25,11.634364
8.76,6.809218
13.22,9.5405855
0.34,10.110988
16.5,9.757117
19.8,17.455444
13.8,13.325982
14.82,12.2095585
2.75,3.456393
17.8,15.835046
21.06,10.6268
12.23,10.121553
11.2,10.747415
17.1,15.098006
8.1,7.5895004
19.27,16.435658
5.2,9.079423
14.6,9.4515505
6.43,8.795544
7.14,5.3943906
4.7,10.870742
1.87,4.6894183
7.02,7.463667
12.4,8.389635
18.77,16.590847
4.42,7.9731894
9.59,8.196334
12.0,10.802148
8.7,8.494622
18.85,13.240283
20.7,18.038872
5.81,5.304774
11.66,10.660302
3.5,4.8711076
11.87,8.629493
17.4,12.888947
16.0,12.92176
8.4,8.153195
14.9,11.331254
15.7,12.60176
12.77,12.564005
21.01,16.911165
12.4,11.54931
9.73,7.5678124
15.0,13.4796
5.8,7.089179
14.03,10.2738085
6.66,9.498423
10.7,7.325789
19.7,16.186197
13.62,12.5949545
19.7,15.953246
15.02,13.864349
10.68,7.9921103
12.16,11.500182
11.71,9.140632
0.46,1.4841951
14.94,10.532208
13.3,10.578732
15.91,13.283446
7.98,5.4041457
19.77,17.840752
14.6,12.696583
15.4,10.696866
12.6,11.187964
20.14,15.619394
10.8,8.627812
15.76,9.291246
19.7,14.491279
3.29,5.478316
18.24,15.871936
15.9,11.59011
11.8,9.03111
5.9,7.368571
16.5,14.480954
20.3,16.895838
6.25,7.9195356
18.88,9.807925
7.3,7.2380033
1.57,7.060965
13.52,12.8766365
15.25,12.149535
12.1,12.483565
17.09,8.379968
12.96,12.636755
13.11,8.280036
1.02,4.454738
15.78,9.575747
14.2,10.286202
17.1,15.107348
11.82,9.059915
12.7,7.1102986
9.93,5.3710732
13.4,10.940803
11.9,9.470053
15.8,14.049889
15.61,11.910788
8.78,9.548511
16.61,12.771499
11.42,9.245709
13.3,7.635874
0.26,0.72018033
0.18,5.799559
19.1,14.316322
4.98,4.7169747
14.0,9.919488
17.1,12.262271
15.27,9.312999
14.1,14.046707
9.6,7.712607
20.7,13.390058
17.16,11.916611
13.56,11.94259
15.83,14.353372
7.03,9.348247
14.67,12.218072
14.76,13.039398
19.6,15.48465
6.6,6.4240456
16.31,13.855403
7.7,6.7081857
10.47,9.004548
14.0,9.22487
0.85,2.9002438
16.3,14.491876
7.0,5.3484254
11.99,8.402207
19.51,15.553208
1.3,2.1546097
7.3,7.325789
20.7,17.451643
18.77,14.7106695
13.27,9.713407
10.9,9.279203
10.59,8.49939
19.48,13.644788
12.57,10.625718
16.01,9.760198
5.0,4.955851
17.27,13.629359
15.0,9.963433
16.86,14.2927885
15.1,9.948976
18.62,15.562922
8.71,8.179879
0.02,0.37033123
15.26,12.037519
16.17,15.711108
1.2,9.670149
11.9,7.113799
2.65,2.8016214
15.8,12.371297
18.5,15.486426
9.2,13.406043
13.58,9.785809
10.7,6.7377663
17.96,16.714098
18.03,13.1032915
14.0,8.724664
14.58,12.2922735
17.8,13.4796
17.42,14.959376
10.2,9.011725
14.2,12.599559
10.46,6.0501337
9.88,7.773154
10.2,9.676756
20.5,16.392826
0.0,7.8431993
13.4,12.523688
16.39,14.162427
11.8,10.848966
16.84,13.737085
2.8,6.253975
13.29,5.8660893
18.0,13.813199
18.69,15.800496
8.8,8.715229
10.79,11.067754
7.18,10.539346
0.77,0.37033123
14.05,10.48175
19.01,14.479855
18.2,13.440514
16.32,9.918307
11.47,8.307717
19.5,12.170365
12.4,11.836541
15.7,13.381119
15.58,13.502492
12.1,7.2735224
18.41,15.274947
16.1,8.991469
13.09,9.854804
17.12,15.187648
1.7,10.051358
1.97,4.6894183
1.04,8.734559
4.49,10.436341
15.01,14.3389435
13.76,12.77501
16.56,15.17786
18.95,15.417497
13.0,10.493478
11.21,10.579682
20.71,18.33552
15.38,10.603902
16.22,11.739825
19.01,14.323391
14.7,13.138085
8.7,11.842294
16.3,13.325982
23.53,20.074144
10.4,7.759665
7.6,8.521033
5.72,6.378536
10.4,11.98027
11.24,9.344302
10.3,9.661027
17.19,11.619797
12.5,9.161647
16.2,12.989581
2.69,1.1204638
12.42,10.270444
9.7,7.669631
13.67,12.269008
11.41,9.418391
19.83,17.952852
8.69,5.962005
11.2,9.072785
12.86,8.647996
14.52,13.248752
10.73,8.089084
15.65,15.436404
14.29,11.806811
9.4,7.6190257
16.41,17.866724
14.7,11.341025
12.72,9.107495
9.47,7.597187
10.2,6.5896387
14.35,6.526262
19.36,16.10006
14.8,15.257546
7.8,7.325789
3.4,4.0644064
0.22,7.7282405
16.05,13.885364
14.9,10.222719
14.72,11.616315
17.74,12.694573
11.2,6.7581162
12.91,9.963599
15.29,13.57024
18.76,14.312182
20.02,17.456783
17.82,10.669284
12.6,9.941068
18.89,14.486258
17.14,13.921463
18.8,9.610242
14.74,11.79218
5.7,7.552995
14.39,11.286861
8.92,7.3950963
17.0,11.927526
10.88,8.457725
18.7,14.967094
16.2,16.196072
4.47,4.762279
17.6,16.284092
16.5,13.024875
17.9,12.876175
17.21,10.937171
15.2,18.295776
12.2,9.074228
11.66,10.353332
13.2,10.456601
9.91,6.9500613
10.5,9.513621
9.75,8.721289
16.17,13.518633
10.01,7.1646595
4.1,4.453645
11.7,7.3427377
18.66,16.152157
12.3,10.320157
18.86,18.133049
8.9,3.493665
9.3,6.412299
9.8,8.160627
10.07,8.540196
16.34,11.628787
5.98,2.4933183
19.25,18.259102
3.46,10.80308
12.72,10.972348
12.1,9.194527
11.89,9.286241
17.75,15.241249
12.2,11.752701
16.58,9.978591
16.82,14.010211
12.2,9.815156
10.11,8.118707
10.02,8.152986
7.04,5.8482227
10.6,11.856414
12.5,9.231368
14.73,13.033782
17.3,13.068078
15.43,11.731883
15.4,10.212623
19.19,12.271841
13.7,12.024954
19.03,17.217794
10.74,8.594726
16.33,12.386375
19.92,13.876455
8.87,11.985051
17.42,13.943675
6.6,11.364708
17.9,16.792385
11.22,8.074414
2.0,4.407353
10.11,7.832932
14.5,10.308099
13.4,12.428348
18.21,11.595431
18.16,14.22034
13.0,11.884232
12.4,7.4692006
10.22,12.852155
7.83,4.664372
14.7,9.266948
4.56,2.3276684
10.82,9.192765
11.1,9.211628
13.8,10.539847
5.14,10.320363
