y_train_real,y_train_pred
19.1,14.266313
14.93,12.832801
14.7,13.660934
1.8,5.734324
7.22,10.717464
18.13,13.2156925
17.3,15.29706
15.2,9.942523
13.85,12.6243105
12.27,14.303035
20.77,18.469269
1.32,8.1474905
14.94,14.76394
14.42,12.835522
2.51,3.50538
16.4,10.6815195
10.34,8.478131
12.3,8.718859
6.0,3.612677
14.5,11.274492
14.06,14.590972
6.5,10.556495
13.08,7.8888617
16.17,9.616705
6.48,4.1856894
13.51,10.253263
14.4,9.330004
11.2,11.234391
13.39,7.2310705
6.1,6.3968644
16.83,12.494309
6.79,4.2644944
16.13,9.745738
14.02,11.864842
9.62,11.584664
17.9,15.473145
1.7,8.20712
11.0,8.917834
8.2,10.051239
4.14,7.3881226
16.0,12.95884
12.7,14.947772
14.38,13.098373
11.8,10.143098
17.21,13.554481
2.71,3.086347
15.59,13.175066
18.5,15.118701
11.72,11.166878
15.8,13.625806
18.9,11.094582
9.04,7.912198
12.13,10.46061
19.27,12.411717
0.484,3.3119855
11.7,11.844642
1.0,7.868819
10.88,11.188432
11.74,10.634538
10.89,11.796591
12.61,11.077189
19.67,16.041382
14.0,10.243761
13.7,13.540934
14.16,11.19201
6.64,8.901628
14.38,11.128716
15.15,13.81368
16.92,14.993305
20.15,14.597709
16.38,14.361487
15.04,14.583985
21.48,17.872162
5.58,8.495215
11.9,11.223847
17.38,14.318294
16.18,13.3891
10.82,9.038265
8.11,8.124527
17.16,10.909495
12.3,11.248911
17.1,14.362447
7.54,8.839697
14.69,12.680844
14.25,12.691354
8.76,8.06287
13.22,11.736926
0.34,10.790911
16.5,10.199356
19.8,17.29543
13.8,14.167201
14.82,11.618383
2.75,5.0359898
17.8,16.653614
21.06,11.0824995
12.23,11.546555
11.2,11.83117
17.1,14.985353
8.1,9.790871
19.27,15.859393
5.2,10.092015
14.6,10.102261
6.43,9.910822
7.14,5.5301595
4.7,12.069289
1.87,6.885021
7.02,9.281127
12.4,10.346444
18.77,16.683008
4.42,9.682919
9.59,9.232239
12.0,11.778768
8.7,10.044933
18.85,14.111528
20.7,18.339716
5.81,7.892766
