y_train_real,y_train_pred
19.1,18.150969
14.93,14.843335
14.7,16.186806
1.8,3.4983177
7.22,10.291853
18.13,14.847469
17.3,16.10083
15.2,14.320825
13.85,14.422478
12.27,14.987341
20.77,19.887152
1.32,6.0068183
14.94,16.6353
14.42,14.328328
2.51,3.023302
16.4,15.317912
10.34,9.940452
12.3,10.661723
6.0,5.9779077
14.5,13.951262
14.06,16.079388
6.5,9.134339
13.08,9.776305
16.17,13.974718
6.48,6.187699
13.51,12.8997555
14.4,12.771515
11.2,11.711925
13.39,10.798993
6.1,7.7624893
16.83,14.237551
6.79,6.53832
16.13,8.292456
14.02,12.99794
9.62,13.6067295
17.9,18.78588
1.7,6.6687264
11.0,10.298375
8.2,10.767328
4.14,7.771856
16.0,12.7535715
12.7,14.410802
14.38,14.861908
11.8,11.630147
17.21,15.500819
2.71,3.4650502
15.59,14.736323
18.5,16.580187
11.72,11.796027
15.8,14.388626
18.9,17.564829
9.04,8.378164
12.13,12.510986
19.27,14.809469
0.484,4.529099
11.7,11.669762
1.0,5.380012
10.88,11.481549
11.74,12.865549
10.89,12.250667
12.61,12.510986
19.67,18.321661
14.0,12.054234
13.7,14.382859
14.16,11.948353
6.64,10.305989
14.38,13.707745
15.15,15.859627
16.92,16.875244
20.15,19.07674
16.38,16.557564
15.04,14.98636
21.48,19.048819
5.58,8.900113
11.9,12.459627
17.38,16.741636
16.18,15.419885
10.82,10.341627
8.11,8.174507
17.16,13.224976
12.3,12.146655
17.1,16.994774
7.54,10.325076
14.69,12.979149
14.25,14.15073
8.76,9.267664
13.22,11.85728
0.34,11.989151
16.5,13.681007
19.8,18.5092
13.8,15.181226
14.82,12.191016
2.75,5.297858
17.8,16.405869
21.06,15.77886
12.23,11.984302
11.2,13.609208
17.1,18.18567
8.1,8.441504
19.27,18.74789
5.2,8.704834
14.6,12.134267
6.43,10.403714
7.14,6.765708
4.7,12.049298
1.87,3.6152093
7.02,7.7299385
12.4,8.563488
18.77,18.29585
4.42,11.499038
9.59,10.291554
12.0,14.35558
8.7,11.193248
18.85,13.559928
20.7,20.354298
5.81,7.7594433
11.66,13.021033
3.5,6.460242
11.87,10.84785
17.4,15.6741
16.0,14.635019
8.4,9.975161
14.9,14.485696
15.7,15.932226
12.77,15.856403
21.01,17.350863
12.4,14.288436
9.73,10.042809
15.0,17.46755
5.8,8.50092
14.03,12.888335
6.66,10.051048
10.7,7.2090073
19.7,17.95874
13.62,14.742716
19.7,18.105337
15.02,15.903707
10.68,9.615459
12.16,14.232118
11.71,12.760996
0.46,1.2293895
14.94,12.848457
13.3,11.533851
15.91,14.732938
7.98,8.063468
19.77,19.618814
14.6,15.082794
15.4,12.952428
12.6,15.555221
20.14,17.770271
10.8,10.448049
15.76,13.071625
19.7,17.384228
3.29,7.2200904
18.24,18.688332
15.9,13.778814
11.8,10.975032
5.9,7.052797
16.5,16.89138
20.3,18.086958
6.25,10.00428
18.88,14.429267
7.3,10.515142
1.57,9.178442
13.52,14.702824
15.25,14.651252
12.1,13.192293
17.09,10.862574
12.96,15.085628
13.11,13.686061
1.02,5.0199237
15.78,9.5983
14.2,13.254037
17.1,16.274305
11.82,10.935236
12.7,8.847732
9.93,9.76653
13.4,13.059815
11.9,11.631411
15.8,16.448282
15.61,14.019401
8.78,12.788574
16.61,14.772435
11.42,11.767504
13.3,10.119109
0.26,2.151925
0.18,4.8158264
19.1,16.438166
4.98,5.3940234
14.0,11.826254
17.1,17.23647
15.27,12.67333
14.1,15.540227
9.6,10.848666
20.7,18.260263
17.16,16.136566
13.56,14.614196
15.83,15.553609
7.03,10.098804
14.67,14.502288
14.76,15.375994
19.6,18.402931
6.6,9.226785
16.31,16.128286
7.7,9.111932
10.47,10.263419
14.0,10.891665
0.85,5.710303
16.3,16.695707
7.0,7.226761
11.99,11.437805
19.51,16.070621
1.3,3.87085
7.3,7.2090073
20.7,18.884054
18.77,17.448608
13.27,11.999121
10.9,11.580539
10.59,12.198595
19.48,17.364515
12.57,12.859785
16.01,11.283506
5.0,6.5883913
17.27,15.389989
15.0,12.13099
16.86,14.7234745
15.1,11.889099
18.62,17.654861
8.71,9.953547
0.02,0.9974029
15.26,16.620985
16.17,17.521671
1.2,12.796517
11.9,10.632647
2.65,3.26368
15.8,16.477749
18.5,17.382421
9.2,13.549664
13.58,11.400133
10.7,10.12253
17.96,17.41072
18.03,14.740091
14.0,10.894226
14.58,13.923855
17.8,17.46755
17.42,16.66651
10.2,12.394212
14.2,15.698296
10.46,7.484029
9.88,10.225221
10.2,13.373889
20.5,18.937567
0.0,5.021269
13.4,12.624361
16.39,16.479265
11.8,13.783888
16.84,17.09418
2.8,6.337457
13.29,9.873158
18.0,16.926554
18.69,18.286238
8.8,11.091345
10.79,12.685276
7.18,13.188898
0.77,0.9142039
14.05,12.56099
19.01,17.338692
18.2,16.634344
16.32,12.479321
11.47,10.333522
19.5,15.644057
12.4,13.543472
15.7,15.512409
15.58,15.274973
12.1,9.452233
18.41,16.63758
16.1,12.886004
13.09,13.738775
17.12,17.672842
1.7,10.303559
1.97,3.860643
1.04,8.292456
4.49,9.972866
15.01,15.795993
13.76,13.501017
16.56,16.40397
18.95,16.238276
13.0,14.153287
11.21,11.747268
20.71,19.388636
15.38,14.6095495
16.22,14.128595
19.01,19.07674
14.7,14.549291
8.7,12.686492
16.3,15.181226
23.53,22.193071
10.4,10.022164
7.6,9.989471
5.72,6.804061
10.4,11.812771
11.24,13.078146
10.3,11.693305
17.19,14.081594
12.5,11.740056
16.2,15.133768
2.69,3.4480047
12.42,11.222712
9.7,10.48914
13.67,13.487706
11.41,12.114517
19.83,19.408646
8.69,8.198749
11.2,11.97337
12.86,11.630291
14.52,15.652233
10.73,11.224983
15.65,15.381195
14.29,12.003734
9.4,8.344642
16.41,18.603336
14.7,13.611678
12.72,10.402278
9.47,7.729917
