,feature_importance
dev_crystal_radius,0.08439192591410907
Perovskite_deposition_quenching_induced_crystallisation_True,0.04218073708885083
Cell_area_measured,0.03274368051751368
ETL_thickness,0.03263402348497243
Perovskite_deposition_quenching_induced_crystallisation_False,0.03128731467526564
dev_Density_(g/mL),0.02836839856037575
Perovskite_thickness,0.025284783098579195
Backcontact_thickness_list,0.022253109837524758
HTL_stack_sequence_PEDOT:PSS__1,0.01890828864604182
dev_valence_p,0.017996251178706055
dev_Number_of_unfilled_p_valence_electrons,0.013641300099051012
HTL_thickness_list,0.013299882570028078
Perovskite_composition_leadfree_False,0.011787036939765691
Perovskite_composition_a_ions_coefficients_1,0.010835943798293732
HTL_stack_sequence_PTAA__1,0.010221763204337986
Perovskite_deposition_solvents_GBL,0.009646963518277213
Perovskite_deposition_solvents_DMF;_DMSO_IPA,0.007435330453553682
HTL_stack_sequence_Spiro-MeOTAD__2,0.007361083397412081
avg_Melting_point_(K),0.0069153742382056125
max_Density_(g/mL),0.0064671172619691335
Perovskite_deposition_solvents_DMF;_DMSO,0.0060487243946226454
Perovskite_composition_leadfree_True,0.005667069105830913
avg_Cohesive_energy,0.005647985828091068
dev_Atomic_Weight,0.005546910107014462
HTL_additives_compounds_Li-TFSI;_TBP__1,0.005525390046722612
Perovskite_deposition_solvents_mixing_ratios_1__2,0.004782770794350975
avg_thermal_conductivity_(W/(m_K)),0.004718606832400479
ETL_deposition_procedure_Spin-coating__2,0.004479742758283348
Perovskite_deposition_thermal_annealing_temperature_100.0__1,0.004127989898536307
dev_polarizability(A^3),0.004105964296578036
Perovskite_deposition_solvents_DMF,0.004045984098308804
Perovskite_deposition_thermal_annealing_time_10.0__1,0.004045909846593091
ETL_stack_sequence_PCBM-60__2,0.003999428307305922
HTL_stack_sequence_P3HT__1,0.003996480036288251
dev_outer_shell_electrons,0.003950993514431708
Perovskite_additives_compounds_Cl__1,0.0038345730965047412
Perovskite_deposition_synthesis_atmosphere_Unknown,0.0037941963189572023
Perovskite_deposition_synthesis_atmosphere_N2__2,0.0036164039341201166
ETL_stack_sequence_TiO2-mp,0.0034851817876959752
Perovskite_deposition_procedure_Spin-coating_Spin-coating,0.003482376354037299
ETL_deposition_procedure_Spin-coating,0.0033379808823606203
Backcontact_stack_sequence_Au__2,0.0032842592777699987
ETL_stack_sequence_TiO2-c__2,0.003213945576232991
ETL_additives_compounds_Unknown__2,0.0032080356911315363
Substrate_stack_sequence_ITO,0.003167266184592465
Backcontact_stack_sequence_Ag__2,0.002979637247045278
