,feature_importance
dev_crystal_radius,0.23144089164631082
dev_Density_(g/mL),0.10990036029883485
dev_Number_of_unfilled_p_valence_electrons,0.09374679041340239
dev_valence_p,0.08685905825753935
max_Density_(g/mL),0.06799922059688165
avg_Cohesive_energy,0.04938559069086128
avg_Melting_point_(K),0.02868820913936911
dev_outer_shell_electrons,0.026497413921678006
avg_MB_electonegativity,0.015605525319179976
avg_thermal_conductivity_(W/(m_K))_,0.015403818496892215
avg_metallic_valence,0.014119504413912699
dev_Atomic_Weight,0.013776306916699017
dev_polarizability(A^3),0.010975013387730447
dev_Mendeleev_Number,0.01006042149581266
dev_Pauling_Electronegativity,0.009220246374634382
avg_heat_atomization(kJ/mol),0.00919652064106539
dev_Cohesive_energy,0.008620941493700268
avg_Pauling_Electronegativity,0.008076349005685827
dev_group,0.006522589436959146
avg_heat_of_fusion_(kJ/mol)_,0.005898472141788093
dev_Allred-Rockow_electronegativity,0.005732068476703559
dev_Mulliken_EN,0.005220413847469471
dev_metallic_valence,0.005217282722403217
dev_Zunger_radii_sum,0.005022814744566758
dev_heat_of_vaporization_(kJ/mol)_,0.004822170840514783
avg_Boiling_Point_(K),0.0047562820209592575
avg_Allred-Rockow_electronegativity,0.004660562984890502
dev_Gordy_electonegativity,0.00461449190628925
dev_heat_atomization(kJ/mol),0.0046068742451089014
avg_Mendeleev_Number,0.004387176405899196
dev_specific_heat_(J/g_K)_,0.00423988517861547
avg_heat_of_vaporization_(kJ/mol)_,0.004200916124156744
avg_Zunger_radii_sum,0.004158464558995387
avg_crystal_radius,0.004051026750422293
dev_number_of_valence_electrons,0.0039002360606881217
dev_1st_ionization_potential_(kJ/mol),0.0036694511418164113
avg_1st_ionization_potential_(kJ/mol),0.003657539175967192
dev_MB_electonegativity,0.0034370060494834614
avg_Covalent_Radius,0.0034153805496027743
dev_gilmor_number_of_valence_electron,0.0033759969991426246
avg_Number_of_unfilled_d_valence_electrons,0.003203394134993824
dev_thermal_conductivity_(W/(m_K))_,0.0031937723925034673
max_Mendeleev_Number,0.003193183262485543
dev_Boiling_Point_(K),0.0031511963668638026
avg_families,0.0031359101393562275
avg_Gordy_electonegativity,0.00307673995774446
avg_specific_heat_(J/g_K)_,0.0028888220328898203
max_crystal_radius,0.0026430201953839497
dev_Melting_point_(K),0.0026005528245965372
dev_heat_of_fusion_(kJ/mol)_,0.0025877194794822686
dev_ionic_radius,0.0024195628068396082
avg_Mulliken_EN,0.0023792196428766327
dev_Number_of_unfilled_d_valence_electrons,0.0023255619973198216
avg_Density_(g/mL),0.0023044647751589925
dev_Covalent_Radius,0.002297878202493905
dev_valence_d,0.00228715170890816
dev_Atomic_Number,0.0022317446370489855
avg_ionic_radius,0.002191604393451046
dev_Period,0.0020213334451857578
avg_polarizability(A^3),0.0018976914658856976
avg_valence_d,0.0017693138685420532
max_Mulliken_EN,0.0016516425864628438
avg_outer_shell_electrons,0.001555079649784512
avg_Atomic_Weight,0.0015082091971118366
range_Mulliken_EN,0.0013747475898697509
avg_Period,0.0013399567415170624
max_Zunger_radii_sum,0.001310677364792039
dev_Number_of_unfilled_s_valence_electrons,0.0012852330335720423
dev_Atomic_Radius,0.0012845803695680051
avg_Number_of_unfilled_f_valence_electrons,0.0012689766656318114
avg_Number_of_unfilled_p_valence_electrons,0.0012627350720912616
avg_Nonmetal,0.0012577167870665674
avg_Atomic_Radius,0.001243908879161145
dev_valence_s,0.0012076819983545583
avg_Atomic_Number,0.0011466627266697202
avg_Metal,0.0011133072130736948
avg_valence_f,0.0011047525975416512
dev_l_quantum_number,0.0010406347910591207
dev_Metal,0.0009952190469685732
avg_number_of_valence_electrons,0.0009791901849363046
dev_valence_f,0.0009733979971200159
avg_valence_p,0.0009030448178029149
avg_group,0.0008896054114375464
range_1st_ionization_potential_(kJ/mol),0.0008820814191691434
dev_Number_of_unfilled_f_valence_electrons,0.0007990491402033654
avg_Number_of_unfilled_s_valence_electrons,0.0007874039287802288
avg_gilmor_number_of_valence_electron,0.000729543556110675
avg_l_quantum_number,0.0006681848921478553
dev_Nonmetal,0.0006572829748423736
dev_families,0.0005897500492218935
mode_heat_atomization(kJ/mol),0.0005056746353823743
range_Gordy_electonegativity,0.0004930587849890844
avg_valence_s,0.00048533077518985384
range_Allred-Rockow_electronegativity,0.00044518322540166585
range_Density_(g/mL),0.0002713425372024726
range_thermal_conductivity_(W/(m_K))_,0.00020413733788427773
min_Gordy_electonegativity,0.00017308421776836795
range_ionic_radius,0.00015040168299913114
range_Covalent_Radius,0.00013589279155444602
range_Mendeleev_Number,0.000124660096577803
min_Mendeleev_Number,0.00012135709678409373
range_Pauling_Electronegativity,0.00011102241305580626
range_Zunger_radii_sum,0.00010800357657587126
min_Pauling_Electronegativity,9.440251609810065e-05
min_Mulliken_EN,8.566671477556708e-05
range_polarizability(A^3),8.354036727067335e-05
range_MB_electonegativity,7.964623945349943e-05
max_ionic_radius,7.94210998278155e-05
range_Atomic_Radius,7.097955518617556e-05
min_heat_atomization(kJ/mol),7.094027387549942e-05
min_thermal_conductivity_(W/(m_K))_,6.87005376876501e-05
min_MB_electonegativity,6.820228662113783e-05
range_crystal_radius,6.348640937901122e-05
min_Allred-Rockow_electronegativity,6.201845350101754e-05
range_heat_of_vaporization_(kJ/mol)_,5.36157227552395e-05
min_1st_ionization_potential_(kJ/mol),5.345668867858887e-05
max_heat_of_vaporization_(kJ/mol)_,5.182358242355141e-05
max_Pauling_Electronegativity,4.848395768071906e-05
min_specific_heat_(J/g_K)_,4.783179571440683e-05
max_MB_electonegativity,4.477494240148537e-05
max_polarizability(A^3),4.035999387178406e-05
max_Atomic_Radius,3.4969640823072006e-05
range_heat_atomization(kJ/mol),3.399168184018037e-05
range_Melting_point_(K),3.062234183334555e-05
range_families,2.8811513091191637e-05
range_l_quantum_number,2.704357511796732e-05
max_thermal_conductivity_(W/(m_K))_,2.473531461550379e-05
max_Covalent_Radius,2.4386514780443343e-05
range_specific_heat_(J/g_K)_,2.0434166875703236e-05
range_number_of_valence_electrons,1.9979929307381498e-05
min_families,1.8751336771380555e-05
dev_Metalliod,1.8617390176582986e-05
range_heat_of_fusion_(kJ/mol)_,1.736110367863254e-05
mode_Melting_point_(K),1.5570427422913233e-05
mode_Mulliken_EN,1.4718047022109065e-05
min_polarizability(A^3),1.3835573562420161e-05
max_metallic_valence,1.3777891824431797e-05
avg_Metalliod,1.2967370791367951e-05
mode_Period,1.2867641010378497e-05
min_heat_of_fusion_(kJ/mol)_,1.281975874316124e-05
range_metallic_valence,1.2425898346458224e-05
range_Period,1.2048390051568837e-05
max_number_of_valence_electrons,1.1788068164890034e-05
mode_valence_s,1.1133167938009937e-05
range_Metalliod,1.0926431750408427e-05
max_l_quantum_number,1.0918740850844449e-05
