,0
Perovskite_composition_long_form,1
Cell_area_total,0
Cell_number_of_cells_per_substrate,0
Cell_architecture,0
Cell_flexible,0
Cell_flexible_min_bending_radius,0
Cell_semitransparent,0
Cell_semitransparent_AVT,0
Cell_semitransparent_wavelength_range,0
Cell_area_measured,0
Module,0
Module_number_of_cells_in_module,0
Module_area_total,0
Module_area_effective,0
Module_JV_data_recalculated_per_cell,0
Substrate_stack_sequence,0
Substrate_thickness,0
Substrate_area,0
Substrate_supplier,0
Substrate_brand_name,0
Substrate_deposition_procedure,0
Substrate_surface_roughness_rms,0
Substrate_etching_procedure,0
Substrate_cleaning_procedure,0
ETL_stack_sequence,0
Cell_semitransparent_raw_data,0
ETL_additives_compounds,0
ETL_additives_concentrations,0
ETL_deposition_procedure,0
ETL_deposition_aggregation_state_of_reactants,0
ETL_deposition_synthesis_atmosphere,0
ETL_deposition_synthesis_atmosphere_pressure_total,0
ETL_deposition_synthesis_atmosphere_pressure_partial,0
ETL_deposition_synthesis_atmosphere_relative_humidity,0
ETL_deposition_solvents,0
ETL_deposition_solvents_mixing_ratios,0
ETL_deposition_solvents_supplier,0
ETL_deposition_solvents_purity,0
ETL_deposition_reaction_solutions_compounds,0
ETL_deposition_reaction_solutions_compounds_supplier,0
ETL_deposition_reaction_solutions_compounds_purity,0
ETL_deposition_reaction_solutions_concentrations,0
ETL_deposition_reaction_solutions_volumes,0
ETL_deposition_reaction_solutions_age,0
ETL_deposition_reaction_solutions_temperature,0
ETL_deposition_substrate_temperature,0
ETL_deposition_thermal_annealing_temperature,0
ETL_deposition_thermal_annealing_time,0
ETL_deposition_thermal_annealing_atmosphere,0
ETL_storage_time_until_next_deposition_step,0
ETL_storage_atmosphere,0
ETL_storage_relative_humidity,0
ETL_surface_treatment_before_next_deposition_step,0
Perovskite_single_crystal,0
Perovskite_dimension_0D,0
Perovskite_dimension_2D,0
Perovskite_dimension_2D3D_mixture,0
ETL_thickness,0
Perovskite_dimension_3D_with_2D_capping_layer,0
Perovskite_dimension_list_of_layers,0
Perovskite_composition_perovskite_ABC3_structure,0
Perovskite_composition_perovskite_inspired_structure,0
Perovskite_composition_a_ions,0
Perovskite_composition_a_ions_coefficients,0
Perovskite_composition_b_ions,0
Perovskite_composition_b_ions_coefficients,0
Perovskite_composition_c_ions,0
Perovskite_composition_c_ions_coefficients,0
Perovskite_composition_none_stoichiometry_components_in_excess,0
Perovskite_composition_short_form,0
Perovskite_composition_assumption,0
Perovskite_composition_inorganic,0
Perovskite_composition_leadfree,0
Perovskite_additives_compounds,0
Perovskite_additives_concentrations,0
Perovskite_thickness,0
Perovskite_band_gap,0
Perovskite_band_gap_graded,0
Perovskite_band_gap_estimation_basis,0
Perovskite_pl_max,0
Perovskite_deposition_number_of_deposition_steps,0
Perovskite_deposition_procedure,0
Perovskite_deposition_aggregation_state_of_reactants,0
Perovskite_deposition_synthesis_atmosphere,0
Perovskite_deposition_synthesis_atmosphere_pressure_total,0
Perovskite_deposition_synthesis_atmosphere_pressure_partial,0
Perovskite_deposition_synthesis_atmosphere_relative_humidity,0
Perovskite_deposition_solvents,0
Perovskite_deposition_solvents_mixing_ratios,0
Perovskite_deposition_solvents_supplier,0
Perovskite_deposition_solvents_purity,0
Perovskite_deposition_reaction_solutions_compounds,0
Perovskite_deposition_reaction_solutions_compounds_supplier,0
Perovskite_deposition_reaction_solutions_compounds_purity,0
Perovskite_deposition_reaction_solutions_concentrations,0
Perovskite_deposition_reaction_solutions_volumes,0
Perovskite_deposition_reaction_solutions_age,0
Perovskite_deposition_reaction_solutions_temperature,0
Perovskite_deposition_substrate_temperature,0
Perovskite_deposition_quenching_induced_crystallisation,0
Perovskite_deposition_quenching_media,0
Perovskite_deposition_quenching_media_mixing_ratios,0
